Port_IDs,Total_PnL,Total_Investment,ROI,Total_Positions,Win_Positions,Win_Rate,Mean_Return,Std_Return,Sharpe_Ratio,MDD,Score
3977234346014419201,2427.29283086,6644.565672956543,36.530496503919125,83,33,39.75903614457831,29.244491938072287,95.96668749567114,0.3045274636512857,0.0,19.00231441918678
3986814617275053313,16337.46188064,17716862.373792324,0.09221419422892395,3554,2780,78.22172200337648,4.596922307439504,13.939082864169066,0.3283517539883958,2.3819474699994316,15.294124691140608
3891020560590657281,2856.30056379,42016.742447307704,6.798005741097196,437,283,64.75972540045767,6.536156896544623,15.113304301283254,0.4311536886074175,0.0,15.120692909002917
3956048468100538880,1373.56489,5642141185.052696,2.4344745105614923e-05,28,20,71.42857142857143,49.055888928571434,93.46437752242942,0.5246478950421928,0.0,14.443115957650477
3983074113875692800,2424.82951996,12906.349788555399,18.787880072103718,43,14,32.55813953488372,56.39138418511629,156.55636271025622,0.36007086016327916,0.0,12.256013186656844
4039279455324236544,1038.80741926,56511.3951396792,1.83822646157006,327,181,55.35168195718655,3.176781098654434,6.734982667718051,0.4687140642225313,0.0,11.762418549175088
4017110277719148289,2899.93302141,6508222308.883474,4.455798962877624e-05,252,143,56.74603174603175,11.507670719880952,29.205381271790724,0.39334089197379574,0.0,11.467221984195378
4017323550554338817,3134.7351025,8816924.694454892,0.03555361093728617,545,273,50.091743119266056,5.751807527522935,26.977405574454643,0.212466966539973,0.0,10.09275479709639
3998659472131949824,1449.32593976,25825475999.40458,5.612000877712438e-06,147,72,48.97959183673469,9.859360134421769,25.780273420628824,0.38166236540177745,0.0,9.910418760567735
4035430878731345664,2493.75041995,206719209.3203109,0.0012063467290482617,89,43,48.31460674157304,28.01966763988764,59.662106359390805,0.4693040415171413,0.0,9.804074464788465
4036548677626662656,3296.87667987,2035020892.704852,0.0001620070187823944,147,68,46.25850340136054,22.427732516122447,92.41801269752129,0.24246066174850173,0.0,9.324487480902294
3826087012661391104,532.65697373,19010152.418403655,0.0028019605630007303,108,63,58.333333333333336,4.932009016018519,7.3055823625850245,0.6723637859693423,12.925980130000028,9.284020364626365
4039129759104249600,1264.28919972,540518.57273811,0.2339030078680698,133,59,44.3609022556391,9.505933832481203,18.209114968437053,0.5209442550570821,0.0,9.098634630005366
3944658614777849089,2074.44997996,2951061777.661301,7.029503738833923e-05,45,20,44.44444444444444,46.09888844355555,113.12878081739643,0.40731357759377307,0.0,9.011104050678238
4030565764341697025,2789.87828996,1154369007.7905765,0.00024167993692933022,105,51,48.57142857142857,26.57026942819048,79.81476645805331,0.3326485888064834,4.030795650000002,9.007993664908739
4023697433751327232,2408.22399998,10550.850018602,22.824928756774163,42,4,9.523809523809524,57.33866666619048,191.02742588621948,0.30005464608171417,0.0,8.842256925618669
4029749871687083265,3662.13654822,1026007.210431799,0.3569308783589129,856,367,42.873831775700936,4.278196902126168,12.089494478313068,0.3522229080599526,0.0,8.787512491065847
3768170840939476993,243.66889897,579922.9171301029,0.04201746331665214,14,6,42.857142857142854,17.404921355,41.022498585130585,0.4237899190592332,0.0,8.711170786141336
4037179073830813185,2331.43490998,1220228323.6004667,0.00019106546413385586,73,31,42.465753424657535,31.937464520273974,132.75882379033902,0.24041689741602423,0.0,8.565333073795555
4019895412775450368,2640.30025492,273603745.61914265,0.0009650088119024902,571,242,42.38178633975482,4.623993441190893,16.2415837905317,0.28346948798644056,0.0,8.561687616990467
